Report Name: LNDEMO_EQ_ASIA_ESG_ATTR_BRINSON,,,,,,,,,,,,,,
Portfolio: LPDEMO_ASIA_ESG,,,,,,,,,,,,,,
Benchmark: MXAP,,,,,,,,,,,,,,
Run Date: 07/22/2020,,,,,,,,,,,,,,
Period: 12/31/2019 - 07/21/2020,,,,,,,,,,,,,,
Base Currency: USD,,,,,,,,,,,,,,
Classification: BICS Sector,,,,,,,,,,,,,,
Level,Name,Avg % Wgt[P],Avg % Wgt[B],Avg % Wgt[D],CTR[P],CTR[B],CTR[D],Tot Rtn[P],Tot Rtn[B],Tot Rtn[D],Tot Attr,Alloc,Selec,Curr
0,LPDEMO_ASIA_ESG,100,100,0,-4.9713349,0.02408654,-4.99542144,-4.9713349,0.02408654,-4.99542144,-4.99542144,-4.71359927,-0.51485481,0.23303264
1,Basic Materials,9.59383632,4.67413367,4.91970265,0.17797708,-0.12253162,0.30050871,1.27376964,-2.69254797,3.96631761,0.27727302,-0.12908453,0.27332349,0.13303406
2,000060 C2,,0.00096284,-0.00096284,,-0.00026825,0.00026825,,-17.86479076,17.86479076,0.00021457,,0.00018077,0.00003379
2,000629 C2,,0.00184579,-0.00184579,,-0.00057792,0.00057792,,-22.91260765,22.91260765,0.00098248,,0.0009691,0.00001339
2,000630 C2,,0.0020352,-0.0020352,,-0.00012836,0.00012836,,-3.75143007,3.75143007,0.0002098,,0.00019539,0.00001441
2,000688 C2,,0.00049212,-0.00049212,,0.0003879,-0.0003879,,21.75213936,-21.75213936,-0.0003064,,-0.00026659,-0.00003981
2,000709 C2,,0.00220309,-0.00220309,,-0.00032797,0.00032797,,-11.20962354,11.20962354,0.00051331,,0.00049679,0.00001652
2,000825 C2,,0.00188435,-0.00188435,,-0.00022617,0.00022617,,-8.92355683,8.92355683,0.00032055,,0.00030683,0.00001372
2,000830 C2,,0.00091146,-0.00091146,,-0.00045498,0.00045498,,-30.06424136,30.06424136,0.00056832,,0.00053858,0.00002974
2,000898 C2,,0.00138863,-0.00138863,,-0.00027928,0.00027928,,-15.11999175,15.11999175,0.00046336,,0.00045337,0.00000999
